ID,Tipo,Color,Material,Agregado,Cantidad,Precio Unitario,Precio Total,Fecha
3338,Gabetero de 2 cajas con chapa adicional,Rojo,Melamina,De hogar,3,980,2940,2024-03-31
3339,Casillero de 6 puertas,Rojo,Metal,Con chapa,8,1750,14000,2024-05-05
3340,Vitrina para farmacia,Blanco,Metal,Con iluminación,3,1100,3300,2024-05-10
3341,Gabetero de 4 cajas,Azul,Melamina,De hogar,9,1380,12420,2024-01-15
3342,Archivador de Chapas Individuales,Gris,Metal,Sin agregado,2,1400,2800,2024-05-07
3343,Casillero de 6 puertas,Azul,Metal,Con chapa,9,1750,15750,2024-01-27
3344,Casillero de 9 puertas,Negro,Melamina,Con chapa,7,1850,12950,2024-05-04
3345,Archivador de Chapas Individuales,Gris,Metal,Sin agregado,1,1400,1400,2024-02-24
3346,Casillero de 1 cuerpo y 1 puerta,Blanco,Metal,Con espejo,2,900,1800,2024-03-27
3347,Casillero de 12 puertas,Negro,Melamina,Con chapa,10,2200,22000,2024-01-30
3348,Casillero de 9 puertas,Azul,Metal,Con espejo,7,1850,12950,2024-03-13
3349,Camillas para masajes,Gris,Melamina,Sin barillas,2,1250,2500,2024-01-27
3350,Estante mostrador,Blanco,Metal,De pie,6,520,3120,2024-05-14
3351,Estante mostrador,Negro,Metal,Con puertas,8,520,4160,2024-05-25
3352,Gabetero de 5 cajas,Azul,Melamina,Sin cerradura,8,1600,12800,2024-03-30
3353,Casillero de 6 puertas,Azul,Melamina,Con espejo,8,1750,14000,2024-02-23
3354,Gabetero de 4 cajas,Negro,Metal,De oficina,6,1380,8280,2024-03-22
3355,Estante para farmacia,Negro,Melamina,De pie,7,3500,24500,2024-03-26
3356,Escritorio ejecutivo de siete cajas,Negro,Melamina,Fijo,2,1500,3000,2024-02-25
3357,Casillero de 6 puertas,Negro,Metal,Sin chapa,7,1750,12250,2024-02-08
3358,Gabetero con chapa independiente,Rojo,Metal,De oficina,7,1750,12250,2024-04-14
3359,Gabetero de 5 cajas,Rojo,Metal,De hogar,6,1600,9600,2024-03-09
3360,Estante mostrador,Negro,Metal,Sin puertas,9,520,4680,2024-02-06
3361,Casillero de 15 puertas,Blanco,Melamina,Con espejo,7,2290,16030,2024-02-24
3362,Silla giratoria,Gris,Melamina,Sin brazos,6,990,5940,2024-03-26
3363,Vitrina para farmacia,Azul,Metal,De vidrio,2,1100,2200,2024-02-12
3364,Estante mostrador,Negro,Melamina,Con puertas,5,520,2600,2024-05-25
3365,Casillero de 15 puertas,Blanco,Melamina,Sin espejo,6,2290,13740,2024-03-21
3366,Estante mostrador,Gris,Melamina,De pie,9,520,4680,2024-02-07
3367,Casillero de 9 puertas,Gris,Metal,Con espejo,6,1850,11100,2024-03-12
3368,Silla estática con brazo,Gris,Melamina,Acolchonada,9,320,2880,2024-04-07
3369,Casillero de 15 puertas,Rojo,Melamina,Con espejo,6,2290,13740,2024-03-16
3370,Camillas para masajes,Blanco,Metal,Con espaldar movible,3,1250,3750,2024-01-20
3371,Casillero de 12 puertas,Rojo,Metal,Con chapa,5,2200,11000,2024-05-23
3372,Gabetero de 2 cajas sin chapa,Azul,Melamina,Sin cerradura,8,830,6640,2024-04-30
3373,Silla de espera,Rojo,Metal,Acolchonada,7,950,6650,2024-03-13
3374,Biombo,Negro,Metal,Sin agregado,1,450,450,2024-02-13
3375,Gabetero de 5 cajas,Gris,Melamina,De hogar,9,1600,14400,2024-05-21
3376,Biombo,Azul,Metal,Sin agregado,2,450,900,2024-02-17
3377,Estante Archivador,Rojo,Melamina,De pie,5,1250,6250,2024-02-04
3378,Gabetero de 5 cajas,Blanco,Melamina,De hogar,6,1600,9600,2024-04-25
3379,Ropero casillero,Azul,Metal,Sin agregado,2,2500,5000,2024-01-20
3380,Silla de espera,Gris,Metal,Sin brazos,4,950,3800,2024-03-11
3381,Silla de espera,Azul,Metal,Acolchonada,6,950,5700,2024-01-11
3382,Estante mostrador,Gris,Metal,De pie,10,520,5200,2024-05-28
3383,Casillero de 9 puertas,Rojo,Metal,Sin espejo,10,1850,18500,2024-02-21
3384,Gabetero de 3 cajas,Blanco,Metal,Con cerradura,8,1250,10000,2024-05-28
3385,Estante para farmacia,Rojo,Metal,De pie,8,3500,28000,2024-04-04
3386,Silla estática con brazo,Blanco,Melamina,Sin brazos,9,320,2880,2024-02-15
3387,Silla de peluquería,Azul,Metal,No acolchonada,7,210,1470,2024-04-10
3388,Silla de peluquería,Gris,Melamina,Con brazos,7,210,1470,2024-03-10
3389,Gabetero con chapa independiente,Blanco,Metal,De hogar,5,1750,8750,2024-05-28
3390,Gabetero de 5 cajas,Gris,Melamina,De oficina,3,1600,4800,2024-01-19
3391,Estante Archivador,Negro,Metal,De pie,1,1250,1250,2024-04-27
3392,Silla mesedora,Azul,Melamina,Sin brazos,7,500,3500,2024-01-10
3393,Gabetero de 4 cajas,Rojo,Melamina,Con cerradura,9,1380,12420,2024-04-02
3394,Casillero de dos puertas,Negro,Melamina,Sin chapa,6,1850,11100,2024-02-13
3395,Biombo,Azul,Metal,Sin agregado,3,450,1350,2024-03-01
3396,Silla mesedora,Blanco,Melamina,Acolchonada,6,500,3000,2024-02-16
3397,Estanteria tipo vitrin,Blanco,Metal,De pared,5,650,3250,2024-03-25
3398,Gabetero de 2 cajas con chapa adicional,Blanco,Metal,Con cerradura,10,980,9800,2024-02-24
3399,Gabetero de 2 cajas sin chapa,Blanco,Melamina,Con cerradura,10,830,8300,2024-02-22
3400,Casillero de 2 puertas,Rojo,Melamina,Sin espejo,6,980,5880,2024-04-05
3401,Mostrador para librería,Gris,Metal,Sin agregado,2,900,1800,2024-05-10
3402,Casillero de 12 puertas,Azul,Melamina,Sin espejo,10,2200,22000,2024-04-15
3403,Casillero de cuatro puertas,Azul,Melamina,Con espejo,5,1550,7750,2024-04-12
3404,Casillero de dos puertas,Negro,Metal,Sin chapa,9,1850,16650,2024-04-12
3405,Estante de puertas corredizas,Blanco,Melamina,De pie,8,1750,14000,2024-04-06
3406,Casillero de 1 cuerpo y 4 puertas,Negro,Melamina,Sin espejo,8,980,7840,2024-04-21
3407,Gabetero de 2 cajas sin chapa,Blanco,Metal,Con cerradura,10,830,8300,2024-01-24
3408,Gabetero de 2 cajas con chapa adicional,Gris,Metal,De hogar,7,980,6860,2024-02-01
3409,Casillero de 1 cuerpo y 4 puertas,Rojo,Metal,Sin espejo,10,980,9800,2024-02-01
3410,Estante mostrador,Gris,Melamina,Con puertas,4,520,2080,2024-05-14
3411,Casillero de 6 puertas,Blanco,Melamina,Con espejo,9,1750,15750,2024-02-05
3412,Gabetero con chapa independiente,Negro,Melamina,De oficina,4,1750,7000,2024-04-09
3413,Estante para farmacia,Rojo,Melamina,De pie,5,3500,17500,2024-03-31
3414,Silla giratoria,Negro,Melamina,Con brazos,9,990,8910,2024-04-26
3415,Gabetero de 4 cajas,Gris,Melamina,Con cerradura,5,1380,6900,2024-01-17
3416,Catre de internación,Negro,Melamina,Sin agregado,3,2650,7950,2024-02-29
3417,Casillero de 9 puertas,Azul,Metal,Con chapa,7,1850,12950,2024-03-13
3418,Gabetero de 3 cajas,Blanco,Melamina,Sin cerradura,8,1250,10000,2024-01-21
3419,Casillero de 2 puertas,Azul,Melamina,Con chapa,10,980,9800,2024-05-12
3420,Mesa de curación,Gris,Melamina,Con cajones,2,850,1700,2024-04-11
3421,Gabetero de 3 cajas,Azul,Metal,Sin cerradura,8,1250,10000,2024-05-16
3422,Negtoscopio,Azul,Melamina,Sin agregado,3,920,2760,2024-04-16
3423,Casillero de cuatro puertas,Azul,Melamina,Sin chapa,9,1550,13950,2024-02-09
3424,Silla de peluquería,Gris,Melamina,Sin brazos,8,210,1680,2024-05-25
3425,Gabinete de dos cuerpos,Rojo,Melamina,Sin agregado,2,1850,3700,2024-03-19
3426,Horno semi-industrial,Gris,Metal,Con ventilador,1,2550,2550,2024-03-03
3427,Silla de peluquería,Negro,Melamina,Con brazos,6,210,1260,2024-02-29
3428,Silla de peluquería,Rojo,Melamina,Con brazos,9,210,1890,2024-05-10
3429,Silla estática,Rojo,Metal,No acolchonada,8,140,1120,2024-02-04
3430,Casillero de 12 puertas,Gris,Melamina,Con espejo,7,2200,15400,2024-03-31
3431,Gabetero de 4 cajas,Gris,Melamina,De oficina,9,1380,12420,2024-02-08
3432,Casillero de 15 puertas,Negro,Metal,Sin chapa,10,2290,22900,2024-03-15
3433,Silla de peluquería,Blanco,Metal,No acolchonada,3,210,630,2024-03-19
3434,Estante de puertas corredizas,Rojo,Metal,De pared,9,1750,15750,2024-04-15
3435,Silla de espera,Gris,Metal,Con brazos,7,950,6650,2024-03-28
3436,Estante para farmacia de dos cuerpos,Negro,Melamina,De pie,7,3550,24850,2024-01-30
3437,Estante Archivador,Negro,Melamina,Con puertas,6,1250,7500,2024-04-29
3438,Archivador de Chapas Individuales,Rojo,Metal,Sin agregado,1,1400,1400,2024-03-05
3439,Silla estática,Negro,Melamina,No acolchonada,3,140,420,2024-05-29
3440,Archivador de Chapas Individuales,Rojo,Melamina,Sin agregado,1,1400,1400,2024-04-12
3441,Silla giratoria,Azul,Melamina,Sin brazos,6,990,5940,2024-01-21
3442,Gabetero de 2 cajas sin chapa,Rojo,Metal,Sin cerradura,8,830,6640,2024-05-29
3443,Camilla tipo escritorio,Blanco,Melamina,Con barillas,1,2750,2750,2024-02-23
3444,Gabetero de 4 cajas,Azul,Melamina,Con cerradura,10,1380,13800,2024-02-29
3445,Casillero de 2 puertas,Negro,Melamina,Con espejo,4,980,3920,2024-05-16
3446,Gabetero de 5 cajas,Gris,Metal,De hogar,8,1600,12800,2024-04-04
3447,Gabetero de 4 cajas,Azul,Metal,De oficina,7,1380,9660,2024-01-24
3448,Silla estática,Blanco,Melamina,Sin brazos,8,140,1120,2024-03-23
3449,Camilla tipo escritorio,Gris,Melamina,Sin barillas,1,2750,2750,2024-04-14
3450,Gabetero de 5 cajas,Negro,Metal,Con cerradura,9,1600,14400,2024-03-12
3451,Gabetero con chapa independiente,Gris,Melamina,De hogar,8,1750,14000,2024-04-16
3452,Silla estática con brazo,Blanco,Melamina,Acolchonada,8,320,2560,2024-05-10
3453,Casillero de 2 puertas,Blanco,Metal,Sin espejo,7,980,6860,2024-02-16
3454,Horno hogareño,Azul,Melamina,Eléctrico,3,1250,3750,2024-02-15
3455,Horno domestico,Blanco,Metal,Eléctrico,3,1350,4050,2024-04-04
3456,Estante de puertas corredizas,Azul,Melamina,De pie,4,1750,7000,2024-05-12
3457,Vitrina para farmacia,Negro,Metal,De vidrio,2,1100,2200,2024-03-07
3458,Silla estática con brazo,Blanco,Melamina,Con brazos,7,320,2240,2024-02-28
3459,Escritorio ejecutivo de siete cajas,Gris,Melamina,Fijo,3,1500,4500,2024-03-23
3460,Estante Archivador,Negro,Melamina,De pared,3,1250,3750,2024-02-25
3461,Velador clínico,Azul,Metal,Sin agregado,2,650,1300,2024-04-19
3462,Camillas para masajes,Gris,Melamina,Con barillas,2,1250,2500,2024-02-04
3463,Gabetero de 4 cajas,Gris,Melamina,De hogar,8,1380,11040,2024-04-08
3464,Casillero de 9 puertas,Blanco,Metal,Con chapa,1,1850,1850,2024-02-22
3465,Gabetero con chapa independiente,Negro,Metal,De oficina,10,1750,17500,2024-05-10
3466,Casillero de 20 puertas,Negro,Metal,Con chapa,8,2800,22400,2024-03-27
3467,Silla mesedora,Blanco,Metal,No acolchonada,6,500,3000,2024-01-11
3468,Estante para farmacia,Blanco,Metal,Sin puertas,6,3500,21000,2024-03-23
3469,Gabetero con chapa independiente,Azul,Melamina,De hogar,5,1750,8750,2024-02-10
3470,Casillero de 6 puertas,Negro,Melamina,Con chapa,7,1750,12250,2024-05-08
3471,Estante mostrador,Negro,Melamina,Con puertas,9,520,4680,2024-04-20
3472,Taburete médico,Blanco,Melamina,Sin agregado,1,630,630,2024-05-05
3473,Gabetero de 2 cajas con chapa adicional,Negro,Metal,Sin cerradura,6,980,5880,2024-03-21
3474,Casillero de 1 cuerpo y 4 puertas,Blanco,Melamina,Con chapa,7,980,6860,2024-01-12
3475,Gabetero de 3 cajas,Rojo,Melamina,De oficina,10,1250,12500,2024-03-06
3476,Casillero de cuatro puertas,Blanco,Metal,Con chapa,4,1550,6200,2024-03-31
3477,Estante de puertas corredizas,Azul,Metal,De pared,9,1750,15750,2024-05-30
3478,Casillero de 9 puertas,Rojo,Melamina,Con espejo,10,1850,18500,2024-02-21
3479,Cocina industrial de dos quemadores,Gris,Metal,Sin agregado,1,1250,1250,2024-01-14
3480,Casillero de 15 puertas,Gris,Melamina,Sin chapa,8,2290,18320,2024-03-24
3481,Casillero de dos puertas,Azul,Metal,Sin espejo,10,1850,18500,2024-05-06
3482,Silla de espera,Gris,Melamina,Sin brazos,1,950,950,2024-05-16
3483,Silla de espera,Negro,Melamina,Sin brazos,4,950,3800,2024-05-30
3484,Casillero de 12 puertas,Rojo,Metal,Sin espejo,10,2200,22000,2024-04-18
3485,Silla mesedora,Negro,Metal,No acolchonada,10,500,5000,2024-01-24
3486,Estante para farmacia,Negro,Melamina,Sin puertas,9,3500,31500,2024-04-30
3487,Casillero de dos puertas,Rojo,Melamina,Con espejo,9,1850,16650,2024-05-19
3488,Casillero de 1 cuerpo y 4 puertas,Azul,Melamina,Sin chapa,10,980,9800,2024-03-16
3489,Casillero de 1 cuerpo y 4 puertas,Blanco,Melamina,Con chapa,6,980,5880,2024-03-03
3490,Archivador de Chapas Individuales,Blanco,Melamina,Sin agregado,1,1400,1400,2024-02-13
3491,Silla de espera,Blanco,Melamina,No acolchonada,7,950,6650,2024-04-22
3492,Casillero de 6 puertas,Negro,Melamina,Sin chapa,7,1750,12250,2024-02-01
3493,Mesa de trabajo,Blanco,Metal,Con cajones,3,1500,4500,2024-05-24
3494,Estante para farmacia de dos cuerpos,Azul,Metal,Sin puertas,8,3550,28400,2024-03-12
3495,Gabetero de 5 cajas,Negro,Metal,Con cerradura,7,1600,11200,2024-05-11
3496,Estanteria tipo vitrin,Negro,Melamina,Sin puertas,9,650,5850,2024-03-20
3497,Estanteria tipo vitrin,Rojo,Melamina,Con puertas,10,650,6500,2024-01-10
3498,Gabetero de 5 cajas,Negro,Metal,Sin cerradura,8,1600,12800,2024-01-14
3499,Casillero de 20 puertas,Negro,Metal,Sin chapa,4,2800,11200,2024-04-03
3500,Silla estática con brazo,Rojo,Melamina,No acolchonada,6,320,1920,2024-05-15
3501,Gabetero de 4 cajas,Gris,Melamina,De oficina,7,1380,9660,2024-05-12
3502,Gabetero de 5 cajas,Blanco,Melamina,Sin cerradura,7,1600,11200,2024-04-25
3503,Estante para farmacia de dos cuerpos,Negro,Melamina,Sin puertas,10,3550,35500,2024-05-27
3504,Gabetero de 4 cajas,Gris,Melamina,Con cerradura,8,1380,11040,2024-01-25
3505,Alacena con pedestal,Rojo,Metal,Sin agregado,1,1600,1600,2024-04-25
3506,Casillero de 15 puertas,Blanco,Melamina,Sin espejo,6,2290,13740,2024-02-09
3507,Vitrina de puertas corredizas,Rojo,Melamina,De vidrio,1,1900,1900,2024-02-15
3508,Vitrina doble chapa,Negro,Melamina,De vidrio,1,1350,1350,2024-03-07
3509,Casillero de 15 puertas,Gris,Metal,Con chapa,6,2290,13740,2024-05-28
3510,Gabinete de dos cuerpos,Rojo,Metal,Sin agregado,3,1850,5550,2024-02-01
3511,Camilla de examen con espaldar movible,Blanco,Melamina,Con barillas,2,1450,2900,2024-03-14
3512,Estante para farmacia,Blanco,Metal,Con puertas,7,3500,24500,2024-04-18
3513,Broastera simple,Rojo,Metal,Sin agregado,3,1100,3300,2024-02-06
3514,Gabetero de 4 cajas,Azul,Melamina,Con cerradura,8,1380,11040,2024-05-05
3515,Silla estática con brazo,Negro,Melamina,Acolchonada,7,320,2240,2024-05-26
3516,Gabetero de 5 cajas,Rojo,Melamina,Sin cerradura,6,1600,9600,2024-03-17
3517,Camilla de ginecología,Blanco,Melamina,Sin barillas,2,1850,3700,2024-04-22
3518,Camilla con Barillas,Negro,Metal,Sin barillas,3,1850,5550,2024-02-07
3519,Casillero de 6 puertas,Blanco,Melamina,Con chapa,10,1750,17500,2024-03-10
3520,Estante para farmacia,Azul,Metal,De pared,6,3500,21000,2024-04-18
3521,Estante mostrador,Gris,Metal,De pared,7,520,3640,2024-02-29
3522,Casillero de 9 puertas,Azul,Metal,Con espejo,8,1850,14800,2024-03-26
3523,Casillero de 2 puertas,Blanco,Metal,Con espejo,6,980,5880,2024-04-20
3524,Estante Archivador,Rojo,Metal,De pie,9,1250,11250,2024-02-15
3525,Silla estática con brazo,Blanco,Metal,No acolchonada,10,320,3200,2024-01-14
3526,Casillero de 12 puertas,Gris,Melamina,Sin chapa,8,2200,17600,2024-02-21
3527,Silla estática,Blanco,Melamina,No acolchonada,4,140,560,2024-03-07
3528,Silla mesedora,Rojo,Metal,Sin brazos,3,500,1500,2024-02-07
3529,Silla de espera,Gris,Metal,Con brazos,10,950,9500,2024-01-21
3530,Gabetero de 2 cajas sin chapa,Blanco,Melamina,Con cerradura,7,830,5810,2024-05-03
3531,Estante de puertas corredizas,Negro,Melamina,De pared,7,1750,12250,2024-04-01
3532,Estanteria tipo vitrin,Negro,Metal,Sin puertas,6,650,3900,2024-03-05
3533,Casillero de dos puertas,Negro,Melamina,Sin chapa,2,1850,3700,2024-01-24
3534,Estante Archivador,Azul,Metal,Con puertas,7,1250,8750,2024-02-03
3535,Casillero de dos puertas,Rojo,Melamina,Sin espejo,8,1850,14800,2024-05-03
3536,Negtoscopio,Rojo,Metal,Sin agregado,1,920,920,2024-02-09
3537,Silla giratoria,Gris,Melamina,Con brazos,9,990,8910,2024-04-20
3538,Casillero de 2 puertas,Blanco,Metal,Sin espejo,10,980,9800,2024-05-24
3539,Gabetero de 5 cajas,Rojo,Melamina,Sin cerradura,9,1600,14400,2024-05-03
3540,Vitrina para farmacia,Azul,Metal,De vidrio,1,1100,1100,2024-05-24
3541,Casillero de 20 puertas,Rojo,Melamina,Con espejo,7,2800,19600,2024-03-26
3542,Casillero de 2 puertas,Rojo,Metal,Con chapa,8,980,7840,2024-05-22
3543,Silla de espera,Gris,Metal,Acolchonada,7,950,6650,2024-04-17
3544,Estante para farmacia de dos cuerpos,Azul,Metal,Sin puertas,5,3550,17750,2024-05-15
3545,Gabetero de 5 cajas,Blanco,Melamina,De hogar,6,1600,9600,2024-05-04
3546,Gabinete de dos cuerpos,Gris,Metal,Sin agregado,3,1850,5550,2024-03-07
3547,Estante para farmacia,Rojo,Metal,Sin puertas,7,3500,24500,2024-01-18
3548,Gabetero de 5 cajas,Rojo,Melamina,De hogar,5,1600,8000,2024-05-18
3549,Mesa de trabajo,Rojo,Metal,Sin cajones,3,1500,4500,2024-01-21
3550,Casillero de 12 puertas,Rojo,Metal,Con espejo,7,2200,15400,2024-04-25
3551,Estante de puertas corredizas,Azul,Metal,Con puertas,9,1750,15750,2024-05-24
3552,Estante Archivador,Negro,Metal,Sin puertas,3,1250,3750,2024-02-16
3553,Gabetero con chapa independiente,Azul,Metal,De hogar,6,1750,10500,2024-03-11
3554,Silla mesedora,Rojo,Melamina,Acolchonada,5,500,2500,2024-02-08
3555,Gabetero con chapa independiente,Azul,Melamina,De hogar,8,1750,14000,2024-05-29
3556,Silla estática con brazo,Rojo,Melamina,Con brazos,5,320,1600,2024-05-28
3557,Casillero de 12 puertas,Negro,Melamina,Con espejo,8,2200,17600,2024-05-12
3558,Estante para farmacia,Negro,Melamina,De pie,6,3500,21000,2024-05-08
3559,Casillero de 9 puertas,Blanco,Metal,Con espejo,6,1850,11100,2024-01-20
3560,Gabetero de 2 cajas con chapa adicional,Negro,Melamina,De hogar,10,980,9800,2024-02-01
3561,Casillero de 20 puertas,Gris,Melamina,Sin espejo,6,2800,16800,2024-04-10
3562,Gabetero de 3 cajas,Negro,Metal,Sin cerradura,7,1250,8750,2024-05-17
3563,Casillero de 1 cuerpo y 4 puertas,Blanco,Metal,Sin espejo,10,980,9800,2024-02-25
3564,Silla mesedora,Blanco,Melamina,Con brazos,3,500,1500,2024-02-25
3565,Casillero de cuatro puertas,Azul,Melamina,Con espejo,6,1550,9300,2024-05-02
3566,Estante para farmacia,Azul,Metal,De pie,9,3500,31500,2024-02-14
3567,Casillero de 12 puertas,Azul,Melamina,Con espejo,10,2200,22000,2024-04-04
3568,Estante mostrador,Azul,Metal,De pared,4,520,2080,2024-05-13
3569,Silla de peluquería,Blanco,Melamina,Sin brazos,9,210,1890,2024-03-02
3570,Gabetero de 3 cajas,Blanco,Melamina,Sin cerradura,10,1250,12500,2024-04-06
3571,Casillero de 9 puertas,Blanco,Melamina,Con chapa,10,1850,18500,2024-02-17
3572,Casillero de cuatro puertas,Gris,Melamina,Sin chapa,10,1550,15500,2024-05-12
3573,Gabetero de 5 cajas,Blanco,Metal,De oficina,4,1600,6400,2024-04-01
3574,Gabetero de 5 cajas,Gris,Metal,Con cerradura,8,1600,12800,2024-02-04
3575,Gabetero con chapa independiente,Azul,Melamina,De hogar,8,1750,14000,2024-01-16
3576,Estante mostrador,Rojo,Melamina,Con puertas,8,520,4160,2024-05-17
3577,Gabetero de 2 cajas con chapa adicional,Blanco,Melamina,Sin cerradura,8,980,7840,2024-03-30
3578,Gabetero de 2 cajas con chapa adicional,Gris,Melamina,Con cerradura,8,980,7840,2024-03-17
3579,Casillero de dos puertas,Blanco,Melamina,Con espejo,8,1850,14800,2024-01-30
3580,Casillero de dos puertas,Rojo,Melamina,Sin chapa,10,1850,18500,2024-04-07
3581,Gabetero de 2 cajas con chapa adicional,Negro,Metal,Con cerradura,9,980,8820,2024-05-16
3582,Silla de peluquería,Negro,Melamina,Acolchonada,8,210,1680,2024-04-24
3583,Casillero de cuatro puertas,Rojo,Melamina,Sin espejo,10,1550,15500,2024-01-10
3584,Casillero de 1 cuerpo y 1 puerta,Negro,Melamina,Con chapa,5,900,4500,2024-02-25
3585,Casillero de 12 puertas,Azul,Metal,Sin espejo,9,2200,19800,2024-04-07
3586,Gabetero de 5 cajas,Rojo,Melamina,De hogar,7,1600,11200,2024-02-03
3587,Horno hogareño,Azul,Melamina,Eléctrico,1,1250,1250,2024-04-11
3588,Silla giratoria,Azul,Metal,Sin brazos,7,990,6930,2024-04-30
3589,Gabetero de 5 cajas,Azul,Metal,Sin cerradura,1,1600,1600,2024-02-08
3590,Estante para farmacia,Azul,Metal,Con puertas,7,3500,24500,2024-02-08
3591,Casillero de 6 puertas,Negro,Metal,Con espejo,6,1750,10500,2024-05-27
3592,Gabetero de 2 cajas sin chapa,Negro,Metal,Sin cerradura,2,830,1660,2024-01-18
3593,Casillero de 6 puertas,Azul,Metal,Sin espejo,9,1750,15750,2024-03-24
3594,Estante para farmacia de dos cuerpos,Azul,Melamina,De pie,7,3550,24850,2024-02-01
3595,Gabetero de 2 cajas sin chapa,Azul,Melamina,De oficina,7,830,5810,2024-03-08
3596,Gabetero de 2 cajas sin chapa,Azul,Melamina,Sin cerradura,6,830,4980,2024-05-21
3597,Vitrina para farmacia,Rojo,Metal,Sin iluminación,3,1100,3300,2024-04-09
3598,Casillero de cuatro puertas,Gris,Melamina,Con chapa,8,1550,12400,2024-03-27
3599,Estante de puertas corredizas,Negro,Melamina,Con puertas,8,1750,14000,2024-02-28
3600,Camilla de ginecología,Gris,Melamina,Sin barillas,3,1850,5550,2024-05-26
3601,Estante mostrador,Blanco,Metal,Sin puertas,6,520,3120,2024-05-19
3602,Gabetero de 2 cajas con chapa adicional,Gris,Melamina,De oficina,9,980,8820,2024-05-21
3603,Estante para farmacia,Blanco,Melamina,Con puertas,6,3500,21000,2024-03-06
3604,Estante de puertas corredizas,Negro,Melamina,De pared,3,1750,5250,2024-04-14
3605,Archivador de Chapas Individuales,Gris,Metal,Sin agregado,3,1400,4200,2024-01-25
3606,Cocina industrial de dos quemadores,Azul,Metal,Sin agregado,1,1250,1250,2024-01-29
3607,Velador clínico,Rojo,Metal,Sin agregado,2,650,1300,2024-04-30
3608,Armario de dos cuerpos,Gris,Melamina,Sin espejo,1,1850,1850,2024-03-29
3609,Gradilla de 2 peldaños,Azul,Melamina,Sin agregado,2,450,900,2024-02-19
3610,Archivador de Chapas Individuales,Gris,Metal,Sin agregado,3,1400,4200,2024-02-03
3611,Silla giratoria,Negro,Melamina,Acolchonada,6,990,5940,2024-01-23
3612,Casillero de dos puertas,Gris,Metal,Con espejo,8,1850,14800,2024-05-17
3613,Casillero de 15 puertas,Rojo,Melamina,Sin chapa,7,2290,16030,2024-05-27
3614,Casillero de dos puertas,Negro,Melamina,Con chapa,7,1850,12950,2024-03-06
3615,Horno semi-industrial,Gris,Metal,Sin ventilador,3,2550,7650,2024-04-25
3616,Escritorio secretarial de cuatro cajas con chapa clave,Rojo,Melamina,Sin chapas,2,1480,2960,2024-03-24
3617,Estante para farmacia,Azul,Melamina,Con puertas,9,3500,31500,2024-02-29
3618,Vitrina doble chapa,Negro,Metal,Sin iluminación,2,1350,2700,2024-03-20
3619,Casillero de 12 puertas,Blanco,Melamina,Con espejo,10,2200,22000,2024-02-01
3620,Estante mostrador,Rojo,Metal,De pie,1,520,520,2024-01-21
3621,Gabetero con chapa independiente,Blanco,Metal,De hogar,9,1750,15750,2024-02-15
3622,Estante de puertas corredizas,Azul,Melamina,Con puertas,10,1750,17500,2024-02-22
3623,Mesa de trabajo,Blanco,Melamina,Redonda,3,1500,4500,2024-05-20
3624,Gabetero de 5 cajas,Gris,Melamina,Sin cerradura,6,1600,9600,2024-01-27
3625,Estante Archivador,Negro,Melamina,De pared,7,1250,8750,2024-05-27
3626,Casillero de 1 cuerpo y tres puertas,Negro,Melamina,Con espejo,8,950,7600,2024-03-06
3627,Silla giratoria,Gris,Melamina,No acolchonada,7,990,6930,2024-05-10
3628,Gabetero de 2 cajas con chapa adicional,Blanco,Melamina,Con cerradura,6,980,5880,2024-01-25
3629,Casillero de 9 puertas,Rojo,Melamina,Con espejo,9,1850,16650,2024-01-14
3630,Silla giratoria,Gris,Metal,Con brazos,8,990,7920,2024-03-03
3631,Estanteria tipo vitrin,Rojo,Melamina,De pie,7,650,4550,2024-03-04
3632,Gabetero de 5 cajas,Negro,Metal,Sin cerradura,8,1600,12800,2024-04-07
3633,Gabetero de 5 cajas,Negro,Melamina,De hogar,6,1600,9600,2024-03-24
3634,Casillero de 12 puertas,Azul,Melamina,Sin chapa,1,2200,2200,2024-04-03
3635,Silla estática,Negro,Melamina,Acolchonada,7,140,980,2024-04-22
3636,Silla de peluquería,Negro,Melamina,Sin brazos,8,210,1680,2024-05-20
3637,Silla estática,Blanco,Melamina,Sin brazos,10,140,1400,2024-02-23
3638,Casillero de 12 puertas,Negro,Metal,Sin espejo,10,2200,22000,2024-03-17
3639,Gabetero de 2 cajas sin chapa,Negro,Melamina,De oficina,5,830,4150,2024-01-21
3640,Mesa de curación,Negro,Melamina,Redonda,1,850,850,2024-04-22
3641,Camilla de examen con espaldar movible,Blanco,Metal,Sin barillas,1,1450,1450,2024-04-12
3642,Silla de espera,Azul,Metal,Sin brazos,8,950,7600,2024-04-21
3643,Vitrina para farmacia,Gris,Melamina,Sin iluminación,3,1100,3300,2024-01-22
3644,Mesa de instrumentación,Rojo,Metal,Con cajones,2,650,1300,2024-03-27
3645,Casillero de 1 cuerpo y 4 puertas,Blanco,Metal,Con espejo,9,980,8820,2024-03-02
3646,Vitrina de puertas corredizas,Gris,Melamina,Sin iluminación,3,1900,5700,2024-05-06
3647,Estante de puertas corredizas,Blanco,Melamina,De pie,7,1750,12250,2024-03-09
3648,Horno semi-industrial,Blanco,Melamina,Eléctrico,3,2550,7650,2024-05-03
3649,Casillero de 20 puertas,Rojo,Melamina,Sin chapa,7,2800,19600,2024-03-05
